Asia,China,Guangxi,Xinyang,97
South America,Bolivia,Santa Cruz,Brasilia,82
South America,Brazil,Parana,Fortaleza,83
North America,Dominican Republic,San Pedro De Macoris,Lima,30
North America,United States,Maryland,Florence,40
Asia,Kuwait,Al Jahra,Doha,91
North America,Costa Rica,Puntarenas,Santiago,39
Asia,China,Hainan,Baotou,88
Asia,Russian Federation,Novosibirsk,Novosibirsk,90
Asia,Philippines,Cebu,Cordoba,83
North America,United States,New York,Paris,59
Europe,Turkey,Izmir,Izmir,81
Africa,Guinea-Bissau,Bolama,Luanda,55
South America,Chile,Antofagasta,Barranquilla,80
Africa,Kenya,Nyanza,Luanda,94
North America,United States,Alabama,Jerusalem,71
South America,Peru,Loreto,Valencia,36
North America,United States,Alabama,Florence,47
North America,Mexico,Coahuila de Zaragoza,Puebla,72
South America,Brazil,Rondonia,Fortaleza,100
Asia,China,Chongqing,Chongqing,59
North America,United States,Tennessee,Moscow,33
Europe,Germany,Baden-Wurttemberg,Stuttgart,30
Asia,China,Fujian,Shenyang,68
Asia,Syria,Hamah,Jinan,98
North America,United States,Missouri,Philadelphia,20
North America,United States,Illinois,Brooklyn,93
North America,Mexico,Michoacan de Ocampo,Manila,48
Asia,Philippines,Cagayan,Cordoba,88
Asia,Iran,Esfahan,Kochi,62
Asia,Indonesia,Jawa Tengah,Baku,42
North America,Mexico,Jalisco,Santiago,27
Asia,China,Shandong,Zibo,87
North America,United States,Wisconsin,Milwaukee,63
Asia,Turkey,Siirt,Paris,85
South America,Brazil,Rio Grande do Norte,Sacramento,54
Europe,Ireland,Tipperary,Portland,58
Asia,Russian Federation,Voronezh,Samara,37
North America,United States,New York,Austin,86
North America,United States,Iowa,Lima,93
South America,Venezuela,Zulia,Valencia,46
North America,United States,Nebraska,Newcastle,75
North America,Nicaragua,Carazo,Rosario,42
Asia,China,Zhejiang,Jinan,41
Africa,Mozambique,Niassa,Samara,67
North America,Nicaragua,Managua,Rosario,36
Asia,Korea (South),Kyongsang-namdo,Changchun,45
Africa,Mauritius,Plaines Wilhems,Phoenix,88
North America,United States,Missouri,Athens,22
Asia,Philippines,Isabela,Santiago,65
North America,United States,California,Johannesburg,74
North America,United States,Indiana,Shanghai,26
North America,United States,Missouri,Montreal,20
Asia,Pakistan,North-West Frontier,Abbottabad,82
North America,Guatemala,Jalapa,Valencia,29
South America,Colombia,Cesar,Guadalajara,79
South America,Venezuela,Guarico,Rosario,86
North America,United States,Kentucky,Atlanta,21
South America,Colombia,Arauca,Casablanca,85
South America,Peru,Ayacucho,Santiago,70
North America,United States,Maryland,Vienna,58
North America,United States,North Dakota,Cleveland,23
