Asia,China,Guangxi,Xinyang,2481
South America,Bolivia,Santa Cruz,Brasilia,3543
South America,Brazil,Parana,Fortaleza,526
North America,Dominican Republic,San Pedro De Macoris,Lima,4034
North America,United States,Maryland,Florence,656
Asia,Kuwait,Al Jahra,Doha,858
North America,Costa Rica,Puntarenas,Santiago,1134
Asia,China,Hainan,Baotou,3497
Asia,Russian Federation,Novosibirsk,Novosibirsk,3809
Asia,Philippines,Cebu,Cordoba,2519
North America,United States,New York,Paris,2791
Europe,Turkey,Izmir,Izmir,1636
Africa,Guinea-Bissau,Bolama,Luanda,2137
South America,Chile,Antofagasta,Barranquilla,3083
Africa,Kenya,Nyanza,Luanda,3968
North America,United States,Alabama,Jerusalem,4872
South America,Peru,Loreto,Valencia,3638
North America,United States,Alabama,Florence,3949
North America,Mexico,Coahuila de Zaragoza,Puebla,4096
South America,Brazil,Rondonia,Fortaleza,2288
Asia,China,Chongqing,Chongqing,3749
North America,United States,Tennessee,Moscow,2547
Europe,Germany,Baden-Wurttemberg,Stuttgart,585
Asia,China,Fujian,Shenyang,1078
Asia,Syria,Hamah,Jinan,4472
North America,United States,Missouri,Philadelphia,1359
North America,United States,Illinois,Brooklyn,3996
North America,Mexico,Michoacan de Ocampo,Manila,2993
Asia,Philippines,Cagayan,Cordoba,2071
Asia,Iran,Esfahan,Kochi,2647
Asia,Indonesia,Jawa Tengah,Baku,4822
North America,Mexico,Jalisco,Santiago,2764
Asia,China,Shandong,Zibo,4700
North America,United States,Wisconsin,Milwaukee,4915
Asia,Turkey,Siirt,Paris,2670
South America,Brazil,Rio Grande do Norte,Sacramento,1950
Europe,Ireland,Tipperary,Portland,4531
Asia,Russian Federation,Voronezh,Samara,3807
North America,United States,New York,Austin,4629
North America,United States,Iowa,Lima,3864
South America,Venezuela,Zulia,Valencia,2053
North America,United States,Nebraska,Newcastle,4925
North America,Nicaragua,Carazo,Rosario,737
Asia,China,Zhejiang,Jinan,3218
Africa,Mozambique,Niassa,Samara,4061
North America,Nicaragua,Managua,Rosario,3197
Asia,Korea (South),Kyongsang-namdo,Changchun,2615
Africa,Mauritius,Plaines Wilhems,Phoenix,787
North America,United States,Missouri,Athens,3091
Asia,Philippines,Isabela,Santiago,4220
North America,United States,California,Johannesburg,1524
North America,United States,Indiana,Shanghai,1640
North America,United States,Missouri,Montreal,3308
Asia,Pakistan,North-West Frontier,Abbottabad,2908
North America,Guatemala,Jalapa,Valencia,1308
South America,Colombia,Cesar,Guadalajara,2200
South America,Venezuela,Guarico,Rosario,2664
North America,United States,Kentucky,Atlanta,4022
South America,Colombia,Arauca,Casablanca,4894
South America,Peru,Ayacucho,Santiago,2969
North America,United States,Maryland,Vienna,3469
North America,United States,North Dakota,Cleveland,3092
North America,United States,Georgia,Providence,2136
Asia,China,Gansu,Ganzhou,795
North America,United States,Iowa,Toronto,2312
South America,Colombia,Cordoba,Santiago,3692
South America,Bolivia,El Beni,Santiago,3688
Asia,Thailand,Krung Thep,Bangkok,3200
Asia,Iran,Semnan,Allahabad,1415
North America,United States,Kansas,Minneapolis,2859
North America,United States,Michigan,London,4525
Asia,Iran,Khorasan,Baghdad,3737
South America,Brazil,Parana,Luanda,989
North America,United States,California,Hamburg,3284
North America,United States,Virginia,Berlin,3394
North America,United States,Montana,Riverside,2641
North America,United States,Arizona,Riverside,1923
North America,United States,Arkansas,Warsaw,1504
Europe,Poland,Mazowieckie,Warsaw,3688
Africa,Gambia,Central River,Medina,3231
North America,United States,Maryland,Berlin,3251
South America,Colombia,Norte de Santander,Miami,3166
North America,United States,Minnesota,Houston,643
North America,United States,Kansas,Geneva,528
Africa,Mali,Tombouctou,Kano,2941
Europe,Portugal,Guarda,Santiago,1444
Asia,India,Punjab,Ludhiana,3215
North America,United States,Florida,Riverside,3278
North America,United States,Iowa,Washington,3851
North America,United States,Indiana,Miami,4328
Asia,India,Haryana,Aurangabad,1151
